Date,Farm,Sensor Number,"Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body segments,Photo,Species? ,Photo File Name,
7/1/19,PU,1C,G,fly,3,6,2,"neonngreen/ yellow translucent body, yellow head, red/brown eyes, neon green legs , clear wings",less than 1mm in length,2,,,,
7/1/19,PU,8C,F,classic black fly,2,,,,,,,classic black fly,,
7/1/19,PU,8C,F,grey fly,1,6,2,,,,,grey fly,,
7/1/19,PU,8C,F,beetle,1,6,2,"brown, similar colored legs","~1cm long, vertical narrow ridges on abdomen, darker brown underside",3,,,IMG_2193.jpg,
7/1/19,PU,4C,G,spotted lady beetle,4,,,,,,,spotted lady beetle,,
7/1/19,PU,1C,G,little black fly,11,,,,,,,little black fly,,
7/1/19,PU,1C,G,cricket?,1,6,0,"green body with a grey shell like shape on it back, yellow translucent legs, ",body has faint horizontal lines going across the green section of the body and verticak lines on the grey segment,2,,,,
7/1/19,PU,7C,P,millipede,2,,,the dark one,,,,millipede,,
7/1/19,PU,7C,P,spider,1,8,0,dark brown?,i only have 6 out of 8 legs and nothing else so idk???,2,,,IMG_2194.jpg,
7/1/19,PU,7C,P,beetle,1,6,2?,dark brown but covered in dirt,"1cm long, one snout thing coming out of a point on its head, thick upper portion of black legs, little white ball at tip of antennae",3,,,IMG_2195.jpg,
7/1/19,PU,4C,G,ant,1,6,0,"brown head and  body, darker brown tail, brown legs","tail has small white hair  follicles on it, antennae are same color as legs and have strippey ends, aoudn 2-3mm in length",3,,,pu-7-1-4G-ant1,
7/1/19,PU,1C,G,gnat,12,,,,,,,gnat,,
7/1/19,PU,1C,G,beetle,2,6,0,"looks like a round black dot, reddish translucent legs","tip of the back of the body is translucent red, around 1mm in length",1,,,,
7/1/19,PU,4C,G,fly/ant,3,6,0,"dark brown all over, legs start off dark brown and then turn yellow","long beady antennae, less than 1mm  in size, small fly eyes (50%)",3,,,pu-7-1-4G-fly4,
7/1/19,PU,3C,P,millipede (the dark one),1,,,,,,,millipede,,
7/1/19,PU,3C,P,beetle,1,6,2,dark brown but slightly holographic,"1cm long, projecting round brown eyes on side of head, tiny little pricks on abdomen, long legs",3,,,PU_6C_G_holographic.jpg,
7/1/19,PU,1C,G,grey fly,1,,,,,,,grey fly,,
7/1/19,PU,3C,P,beetle,1,6,2,brown with little green specks,"little green pricks on exoskeleton, slightly less than 1cm",,,,IMG_2198.jpg,
7/1/19,PU,4C,G,fly,3,6,2,"black all over, balck legs","translucent wings, black hair follicles coming off its back, red fly eyes (70%), legs are long, aoudn 4-5mm in length",3,,,pu-7-1-4G-fly3,
7/1/19,PU,5C,P,beetle,1,6,2,shiny brown,"0.5cm, vertical ridges, iridescent",3,,,IMG_2199.jpg,
7/1/19,PU,4C,G,beetle,1,6,2,"green/grey splotchy all over, green legs with red tips","translucent wings, green/grey eyes fly eyes (40%), cyclindical in shape, tail is long and skinny, around 3-4mm in length",3,,,pu-7-1-4G-beetle3,
7/1/19,PU,5C,P,beetle,1,6,2,shiny brown,"little horns almost off its mouth, 3 distinct sections, 1.5-2cm, spines on its legs, short antennae with little pricks",3,,,IMG_2200.jpg,
7/1/19,PU,4C,G,fly,1,6,4,"black head and body, tail is yellow and black stripped (distinct lines) and has a red spot at the end of its tail, legs are black with yellow joints","legs are beady at the end, around 8mm in size, translucent wings (one pair is smaller than the other), the part where the wings come out of is yellow/orange, big balck fly eyes (80%)",3,,,pu-7-1-4G-fly2,
7/1/19,PU,5C,P,spider??? honestly no clue,1,8?,?,light brown with faint darker splotches,it's v mangled so idk,?,,,IMG_2201.jpg,
7/1/19,PU,2C,P,dark millipede,2,,,,,,,millipede,,
7/1/19,PU,4C,P,fly,1,6,2,"dark brown, white or yellow stripes on abdomen, clear wings, dark brown legs","long antennae that swoop back, white hairs on body, 1-1.5cm",3,,,IMG_2202.jpg,
7/1/19,PU,1C,G,orange larva,1,,,,,,,orange larva,,
7/1/19,PU,4C,G,beetle/cicada?,1,6,2,"brown/black splotchy head, black tail, black legs","black eyes at the side of its head (20%), head is round triangular, translucent wings, legs are hairy, around 3-4mm in lenght",3,,,pu-7-1-4G-beetle2,
7/1/19,PU,6C,P,dark millipede,1,,,,,,,millipede,,
7/1/19,PU,1C,G,insect,1,6,0,"upper half of body and head is green and the lower half is clear, green legs",around 1-2mm in length,2,,,,
7/1/19,PU,4C,F,spotted lady beetle,2,,,,,,,spotted lady beetle,,
7/1/19,PU,4C,G,beetle,1,6,2,"yellowy grey head, yellow/black splotchy body and tail, wings are yellow and black splotchy and translucent, brown/yellow splotchy legs","2 long balck antennae coming off the front of its head, red fly eyse (50%) coming out ofo the side of its head, wings lie vertically along its back, around 5mm in length",3,,,pu-7-1-4G-beetle1,
7/1/19,PU,4C,F,flower fly,2,,,,,,,flower fly,,
7/1/19,PU,4C,F,grey fly,2,,,,,,,grey fly,,
7/1/19,PU,4C,F,beetle,1,6,3,"light brown exoskeleton with black marks at end of abdomen and in the middle of the head, clear black wings","~1 cm long, legs are lighter brown closer to the body",2,,,IMG_2203.jpg,
7/1/19,PU,3C,G,spotted lady beetle,3,,,,,,,spotted lady beetle,,
7/1/19,PU,3C,G,little black fly,20,,,,,,,little black fly,,
7/1/19,PU,3C,G,classic black fly,7,,,,,,,classic black fly,,
7/1/19,PU,3C,G,beetle?,1,6,0,"black all over, brown eyes","around 13-14mm, thick body, glossy looking skin",2,,,,
7/1/19,PU,3C,G,fly,5,6,2,"all black with a tail that is red and black striped, yellow/black striped legs",around 3-4mm in length,3,,,,
7/1/19,PU,3C,G,fly,2,6,2,"black all over, balck legs","translucent wings, black hair follicles coming off its back, red fly eyes (70%), legs are long, aoudn 4-5mm in length",3,,,,
7/1/19,PU,3C,G,mosquito,1,6,2,light brown legs and a dark brown and black body,thin body with long legs ,,,,,
7/1/19,PU,3C,G,fly,1,6,2,metallic blue body with rainbow irridescent wings and translucent milky white legs. Small light brown hair sparse on body and legs,"spherical, almost scaly thorax, small (~2mm)",3?,,,,
7/8/19,PU,1C,F,lady bug,1,,,,,,,lady bug,,
7/8/19,PU,1C,F,little black fly,1,,,,,,,little black fly,,
7/8/19,PU,1C,F,fly,1,6,2,"neon translucent light green body and legs, clear wings, brownish red eyes,","around 1mm in length, top of the head is yellowish, eyes take up about 70% of the face",2,,,,
7/8/19,PU,1C,F,orange larva,1,,,,,,,orange larva,,
7/8/19,PU,3C,F,lady bug,6,,,,,,,lady bug,,
7/8/19,PU,5C,G,beetle,2,6,2,"mix of light and dark brown legs, mix of golden yellow and black body and mid section, black head","very glossy smooth shinny skin, mid section has two large black spots that take up most of the section, the head is a metallic black ",3,,,,
7/8/19,PU,5C,G,lady bug,2,,,,,,,lady bug,,
7/8/19,PU,5C,G,beetle,4,6,2,"translucent greenish yellow body, legs and head","tip of the end of the body is more yellow, orange long antenna, very small head and long thin body, around 3-4mm in length, ",2,,,,
7/8/19,PU,5C,G,fly,1,6,2,"black head, mid section, wings and legs, red third section","arched mid section that comes to a very thin frame where the mid section and third section join, around 6-7mm in length, black hair all over",3,,,,
7/8/19,PU,5C,G,classic black fly,5,,,,,,,classic black fly,,
7/8/19,PU,5C,G,little black fly,7,,,,,,,little black fly,,
7/8/19,PU,5C,G,fly,1,6,2,"black all over, clear wings","third body section comes to a point and, small white hairs,, curved black antenna, glossy bumpy skin",3,,,,
7/8/19,PU,5C,G,fly,1,6,2,"yellow and black striped wings and head, yellow translucent legs","has a light blue stripes where the head and body connect, around 4mm in length, dark blue and black body",3,,,,
7/8/19,PU,1C,G,lady bug,2,8,0,,,,,lady bug,,
7/8/19,PU,1C,G,spider,1,8,0,"yellow legs with light grey spots, greyish black body and head","around 7mm in length, long black hairs only on legs",3,,,IMG_0920.jpg,
7/8/19,PU,1C,G,spider,1,8,0,"brown body / black body with clumps of white hairs, yellow legs with a few black patches","around 5mm in length, head is around the same size as the egg sack, dark brown eyes",2,,,IMG_0919.jpg,
7/8/19,PU,1C,G,beetle,1,6,0,"metallic brown body, light brown eyes, black legs ","shinny skin that is somewhat metallic, very small dots cover the skin, short white hair on the legs, around 1cm in length",3,,,IMG_0919.jpg,
7/8/19,PU,1C,G,beetle,1,6,0,"dark brown/ lighter black body and head, black metallic legs","around 8mm in length, very small head compared to rest of body, a few very small metallic green dots on the body",2,,,IMG_0918.jpg,
7/8/19,PU,1C,G,little black fly,15,,,,,,,little black fly,,
7/8/19,PU,1C,G,fly,1,6,2,"yellow and black striped wings and head, yellow translucent legs","has a light blue stripes where the head and body connect, around 4mm in length, dark blue and black body",3,,,,
7/8/19,PU,1C,G,beetle,1,6,0,"dark brown body, light brown head and legs, ","fork like tail that is beaded, around 5mm in length, lines going across the back,legs are somewhat yellow ",2,,,IMG_63F091E4FAB3-1,
7/8/19,PU,1C,G,fly,2,6,2,"black all over, balck legs","translucent wings, black hair follicles coming off its back, red fly eyes (70%), legs are long, aoudn 4-5mm in length",3,,,,
7/8/19,PU,5C,G,lady bug,4,,,,,,,lady bug,,
7/8/19,PU,3C,G,lady bug,4,,,,,,,lady bug,,
7/8/19,PU,3C,G,beetle,1,6,2,"translucent greenish yellow body, legs and head","tip of the end of the body is more yellow, orange long antenna, very small head and long thin body, around 3-4mm in length, ",2,,,,
7/8/19,PU,3C,G,beetle,1,6,0,"metallic brown body, light brown eyes, black legs ","shinny skin that is somewhat metallic, very small dots cover the skin, short white hair on the legs, around 1cm in length",3,,,,
7/8/19,PU,3C,G,fly,2,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,,
7/8/19,PU,3C,G,classic black fly,2,,,,,,,classic black fly,,
7/8/19,PU,3C,G,little black fly (same as line 319),17,6,2,"shiny black, yellow stripes on legs, clear wings, black eyes",1-2mm,3,,,,
7/8/19,PU,3C,G,fly,2,6,2,"translucent orange/yellow mid section, yellow/brown third section, yellow legs/ head, black eyes","around 1mm in length, third section is outlined in brown and has a few light line brown lines going across the body, eyes take up 70% of head, front two legs are half black",3,,,,
7/8/19,PU,2C,G,lady bug,2,,,,,,,lady bug,,
7/8/19,PU,2C,G,beetle,2,6,2,"mix of light and dark brown legs, mix of golden yellow and black body and mid section, black head","very glossy smooth shinny skin, mid section has two large black spots that take up most of the section, the head is a metallic black ",3,,,,
7/8/19,PU,2C,G,little black fly,14,,,,,,,,,
7/8/19,PU,2C,G,fly,7,6,2,"neon translucent light green body and legs, clear wings, brownish red eyes,","around 1mm in length, top of the head is yellowish, eyes take up about 70% of the face",2,,,,
7/8/19,PU,2C,G,yellow lady bug,1,,,,,,,yellow lady bug,,
7/8/19,PU,2C,G,fly,3,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,,
7/8/19,PU,2C,G,beetle,3,6,0,"metallic brown body, light brown eyes, black legs ","shinny skin that is somewhat metallic, very small dots cover the skin, short white hair on the legs, around 1cm in length",3,,,,
7/8/19,PU,2C,G,fly,2,6,2,"yellow body with three black stripes going down the body, black eye, third section is brown and has yellow around it,yellow legs","less than 1mm in length, black outlining of wings, the black stripes are thick and take up most of body and also end at mid section",3,,,,
7/8/19,PU,2C,G,beetle,1,6,2,"translucent greenish yellow body, legs and head","tip of the end of the body is more yellow, orange long antenna, very small head and long thin body, around 3-4mm in length, ",2,,,,
7/8/19,PU,2C,G,fly ,22,6,2,"black and yellow legs/ head, black mid section of body, third section has black and yellow stripes, red eyes","around 1-2mm in length, black stripes are much thicker than the yellow ones, face is mostly black but the nose region is yellow",3,,,,
7/8/19,PU,2C,G,beetle,1,6,0,"brownish red body and red head, black eyes and translucent reddish legs","around 1mm in length, little rain drop like beads going down its back, smooth looking skin",2,,,,
7/8/19,PU,2C,G,fly,1,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/8/19,PU,8C,G,lady bug,1,,,,,,,lady bug,,
7/8/19,PU,6C,F,fly,1,6,2,"neon translucent light green body and legs, clear wings, brownish red eyes,","around 1mm in length, top of the head is yellowish, eyes take up about 70% of the face",2,,,,
7/8/19,PU,6C,F,beetle,1,cant tell,2,"black body and head with a light brownish orange tail, yellow translucent legs","looks like a large black dot, smooth shinny skin with no markings, around 1-2mm in length",2,,,,
7/8/19,PU,6C,F,flower fly,1,,,,,,,flower fly,,
7/8/19,PU,6C,F,fly,1,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,,
7/8/19,PU,6C,F,beetle,1,6,2,"black body and leg, has white little hairs that look like dots on the head and body, yellow legs with upper portion being brown","back legs are longer than the front legs, around 2-3mm in length, roundish body, fuzzy looking",3,,,,
7/8/19,PU,8C,G,fly,4,6,2,"black, yellowed head, yellow anterior legs","large side (~7mm), thick and roughly spherical thorax, flatter abdomen, long black sparse hairs",3,,,PU_8Cg-7-8-fly,
7/8/19,PU,6C,F,fly,1,6,2,"dark brown/black body, and head, light brown legs, ","around 3mm in length, third section had  horizontal lines going across it, mid section is somewhat scaly and has a few black hairs, tips of wings are brown",3,,,,
7/8/19,PU,6C,F,little black fly,2,,,,,,,little black fly,,
7/8/19,PU,8C,G,fly,17,6,2,black with subtle brown stripes,"thin head with big inset lateral eyes, roughly spherical thorax, flat abdomen, small nubby things on front of face",3,,,PU_8Cg-7-8-fly2,
7/8/19,PU,4C,G,flower fly,3,6,2,,,,,flower fly,,
7/8/19,PU,4C,G,lady bug,1,,,,,,,lady bug,,
7/8/19,PU,4C,G,beetle,1,6,2,"red body with black dots on its third section and middle section, black head, yellowtranslucent legs ","around 3-4mm in length, two black dots on its third section and a black zig zag line underneath it, large black strip doen the middle of the mid section",3,4,,,
7/8/19,PU,8C,G,spotted lady beetle,3,,,,,,,spotted lady beetle,PU_8Cg-7-8-spottedLadyBeetle,
7/8/19,PU,8C,G,hemiptera,6,6,4,"yellow head with dark vertical stripes, black eyes, black abdomen, black pronotum","nubby head, pronotum ends in a posterior triangle, longs spidery legs, leaf-shaped body",3,,,PU_8Cg-7-8-hemiptera,
7/8/19,PU,4C,G,beetle,1,6,2,"black thighs with translucent yellow legs, metallic green and black third section, black mid section and head, black eyes","the third section has one large black down the middle and green on the other two sides, triangular shaped mid section, around 6mm in length, beaded antenna",3,,,,
7/8/19,PU,4C,G,beetle,1,6,0,"metallic brown body, light brown eyes, black legs ","shinny skin that is somewhat metallic, very small dots cover the skin, short white hair on the legs, around 1cm in length",3,,,,
7/8/19,PU,4C,G,little black fly,4,,,,,,,,,
7/8/19,PU,4C,G,spider,1,8,0,"light brown legs with grey spots, dark brown and black body with a few white hairs","a few black hairs on the legs, around 5mm in length, body and head are around the same size",2,,,,
7/8/19,PU,8C,G,fly,11,6,2,black with yellow joints,"glossy and small, roughly spherical head and thorax, teardrop abdomen",3,,,PU_8Cg-7-8-fly3,
7/8/19,PU,8C,G,fly,4,6,2,black with yellow joints,"large hunchback, sparse long black hair",3,,,PU_8Cg-7-8-fly4,
7/8/19,PU,4C,G,fly,2,6,2,"black all over, balck legs","translucent wings, black hair follicles coming off its back, red fly eyes (70%), legs are long, aoudn 4-5mm in length",3,,,,
7/8/19,PU,4C,G,fly ,2,6,2,"black and yellow legs/ head, black mid section of body, third section has black and yellow stripes, red eyes","around 1-2mm in length, black stripes are much thicker than the yellow ones, face is mostly black but the nose region is yellow",3,,,,
7/8/19,PU,4C,G,fly,1,6,2,"clear/yellowish legs and wings, yellow body and head","body comes to a point, around 2-3mm in length, two little black dots on the face,  lines on the pointy part of the body",2,,,,
7/8/19,PU,8C,G,beetle,4,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,PU_8Cg-7-8-beetle,
7/8/19,PU,4C,G,beetle,1,6,2,"black and yellow striped legs, black, brown and yellow patterned body, mid section and head","around 4mm in length, under wings body is black, ",3,,,,
7/8/19,PU,8C,G,gnat,1,6,2,dark brown to black,"glossy, prnounced hunchback, tiny head, segmented abdomen",3,,,PU_8Cg-7-8-gnat,
7/8/19,PU,8C,G,beetle,2,6,2,glossy black,"ovular, divots in vertical rows on forewings",3,,,PU_8Cg-7-8-beetle2,
7/8/19,PU,7C,G,lady bug,4,,,,,,,lady bug,,
7/8/19,PU,7C,G,flower fly,1,,,,,,,flower fly,,
7/8/19,PU,7C,G,spider,3,8,0,"light brown legs with grey spots, dark brown and black body with a few white hairs","a few black hairs on the legs, around 5mm in length, body and head are around the same size",2,,,,
7/8/19,PU,7C,G,fly ,2,6,2,"all black, brownish eyes","third section is very thin and small comared to thicker mid section that is scaly, third section has circular lines going around it, eyes take up 80% of face, around 4mm in length",3,,,,
7/8/19,PU,7C,G,little black fly,8,,,,,,,,,
7/8/19,PU,7C,G,fly ,3,6,2,"black and yellow legs/ head, black mid section of body, third section has black and yellow stripes, red eyes","around 1-2mm in length, black stripes are much thicker than the yellow ones, face is mostly black but the nose region is yellow",3,,,,
7/8/19,PU,4C,F,lady bug,3,,,,,,,lady bug,,
7/8/19,PU,4C,F,fly,2,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/8/19,PU,4C,F,fly ,2,6,2,"black and yellow legs/ head, black mid section of body, third section has black and yellow stripes, red eyes","around 1-2mm in length, black stripes are much thicker than the yellow ones, face is mostly black but the nose region is yellow",3,,,,
7/8/19,PU,4C,F,fly,1,6,2,"black body and head, brown legs,","straight lines going across third section (around 4), scaly looking mid section, legs with three equal length joints, around 4-5mm in length",3,,,,
7/8/19,PU,8C,F,lady bug,4,,,,,,,lady bug,,
7/8/19,PU,8C,F,little black fly,3,,,,,,,little black fly,,
7/8/19,PU,8C,F,fly ,1,6,2,"black and yellow legs/ head, black mid section of body, third section has black and yellow stripes, red eyes","around 1-2mm in length, black stripes are much thicker than the yellow ones, face is mostly black but the nose region is yellow",3,,,,
7/8/19,PU,8C,F,beetle,1,6,2,"dark brown head, legs and body","very round body, very smooth looking skin, somewhat of a traingle shaped head, looks like it has a clear layer over the wings, around 1-2mm in length",2,,,,
7/8/19,PU,2C,F,lady bug,3,,,,,,,lady bug,,
7/8/19,PU,2C,F,beetle,1,6,2,"translucent greenish yellow body, legs and head","tip of the end of the body is more yellow, orange long antenna, very small head and long thin body, around 3-4mm in length, ",2,,,,
7/8/19,PU,2C,F,ant,1,6,0,"black head and body, light black legs","around 2-3mm in length, very small head, faint lines on the third section, mid section is very smooth",3,,,,
7/8/19,PU,2C,F,fly ,1,6,2,"black and yellow legs/ head, black mid section of body, third section has black and yellow stripes, red eyes","around 1-2mm in length, black stripes are much thicker than the yellow ones, face is mostly black but the nose region is yellow",3,,,,
7/8/19,PU,2C,F,fly,1,6,2,"yellow translucent legs, metallic dark blue body and head, brownish red eyes","hunched back, eyes take up around 85% of head, clear wings with a bit of black on the top, around 1mm in length, thin third section that comes to s point and has lines going across it",3,,,,
7/8/19,PU,2C,F,fly,3,6,2,"black body with a yellow under side, yellow head black eyes, yellow/black legs","around 1-2mm in length, eyes take up at least 90% of face, two very short antenna ",3,,,,
7/8/19,PU,2C,F,fly,1,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,,
7/8/19,PU,2C,F,fly,1,6,2,"black all over, balck legs","translucent wings, black hair follicles coming off its back, red fly eyes (70%), legs are long, aoudn 4-5mm in length",3,,,,
7/8/19,PU,6C,G,lady bug,9,,,,,,,lady bug,,
7/8/19,PU,6C,G,beetle,3,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,,
7/8/19,PU,6C,G,beetle,1,6,2,"mix of light and dark brown legs, mix of golden yellow and black body and mid section, black head","very glossy smooth shinny skin, mid section has two large black spots that take up most of the section, the head is a metallic black ",3,,,,
7/8/19,PU,8C,G,spider,2,8,0,"different shades of brown, legs translucent yellow",thin shell eggshell of a body with long legs and black hair on body and legs. Body is all joints and black eyes,1,,,PU_8Cg-7-8-spider,
7/8/19,PU,6C,G,flower fly,1,,,,,,,flower fly,,
7/8/19,PU,6C,G,little black fly,6,,,,,,,little black fly,,
7/8/19,PU,6C,G,fly,1,6,2,"yellow wongs, silver body, brown head with a yellowish tint, yellow antenna, brown eyes","tip of head is more yellow, around 2-3mm in length, triangular shaped head, two little black dots on the back of the head,",2,,,,
7/8/19,PU,8C,G,ant,3,6,2,glossy black body with brown antannae and legs,"pancake head, hunchback, long thorax, teardrop abdomen, long segmented antannae",3,,,PU_8Cg-7-8-ant,
7/8/19,PU,6C,G,fly,1,6,2,"yellow translucent body/legs, clear wings, brown eyes","around 2-3mm in length, body comes to a point, body becomes less translucent than the lower back",2,,,,
7/8/19,PU,8C,G,ant,1,6,0,glossy black with light brown joints,"ovular abdomen, rectangular thorax, segmented antannae",3,,,PU_8Cg-7-8-ant2,
7/8/19,PU,6C,G,beetle,1,6,2,",yellow legs with black dots, yellow head/ mid section with black strip,brown and yellow wings","around 5-6mm in length, two black vertical lines on head and one horizontal one on the mid section, large brown patch before the wings start",3,,,,
7/8/19,PU,8C,G,hemiptera,1,6,4,scaly black,"tubular, skin patches look like scales, jet-black",3,,,PU_8Cg-7-8-hemiptera2,
7/8/19,PU,8C,G,gnat,2,6,2,"black head and thorax, translucent brown abdomen, brown antannae","abdomen distinctly segmented, antannae distinctly segmented, long yellow legs",3,,,PU_8Cg-7-8-gnat2,
7/8/19,PU,6C,G,fly,1,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,,
7/8/19,PU,6C,G,beetle,1,6,0,"red/brown body, black head, red legs ","five lines sections on third section, smooth mid section,  around 1mm in length, very short beaded antenna ",3,,,,
7/8/19,PU,8C,G,fly,1,6,2,"black with chalky greyness patchy all over body, red eyes, long black pointy hairs","Large (~1.5cm), large white bloaty halters, face traingular with eyes pointing forward, skin looks leathery",3,,,PU_8Cg-7-8-fly5,
7/8/19,PU,8C,G,fly,1,6,2,bluish-grey with brown tibias,"large (~1cm), black lateral eyes verticlaly football-shaped, long black point hair (mostly on thorax), light checkering on thorax",3,,,PU_8Cg-7-8-fly6,
7/8/19,PU,8C,G,beetle,1,6,4,"black, white hair, brown legs","covered in small, fine white hair, small spherical eyes protruding laterally from head, hanging probiscus-like things, plumes emerging from bottom, egg-shaped",3,,,PU_8Cg-7-8-beetle3,
7/8/19,PU,8C,G,fly,1,6,2,"glossy black, some brown translucence in legs","large (~1cm), pancake head, long thorax, flat abdomen",3,,,PU_8Cg-7-8-fly7,
7/8/19,PU,6C,G,spider,1,8,0,"light brown body, head and legs, black eyes","around 2mm in length, clear shinny smooth skin with no hair, eyes look likw black water drops on the top of the head, egg sack is not much larger than head",2,,,,
7/8/19,PU,8C,G,fly,2,6,2,"black, brown abdomen, yellow joints",brown prominently segemented abdomen. Wings 1.5x length of abdomen. Long body,3,,,PU_8Cg-7-8-fly8,
7/8/19,PU,6C,G,fly,8,6,2,"translucent orange/yellow mid section, yellow/brown third section, yellow legs/ head, black eyes","around 1mm in length, third section is outlined in brown and has a few light line brown lines going across the body, eyes take up 70% of head, front two legs are half black",3,,,,
7/8/19,PU,6C,G,hemiptera,2,6,4,"yellow head with dark vertical stripes, black eyes, black abdomen, black pronotum","nubby head, pronotum ends in a posterior triangle, longs spidery legs, leaf-shaped body",3,,,,
7/8/19,PU,8C,G,dermaptera,1,6,0,"brown body, bright orange cheeks on lateral aspects of head","long body, abdomen prominently segmented, two small cercus protruding from posterior, slight hunchback in pronotum, flat, disc-shaped head with very bright orange lateral aspects",3,,,PU_8Cg-7-8-dermaptera,
7/8/19,PU,7C,F,lady bug,4,,,,,,,lady bug,,
7/8/19,PU,7C,F,fly ,1,6,2,"black and yellow legs/ head, black mid section of body, third section has black and yellow stripes, red eyes","around 1-2mm in length, black stripes are much thicker than the yellow ones, face is mostly black but the nose region is yellow",3,,,,
7/8/19,PU,7C,F,beetle,1,6,2,"black body and head with a light brownish orange tail, yellow translucent legs","looks like a large black dot, smooth shinny skin with no markings, around 1-2mm in length",2,,,,
7/8/19,PU,7C,F,fly,1,6,2,"blacky blue body, yellow and black tail, lighter yellow and black legs","huge fly eyes (take up 80% of the head), very distinct yellow and black areas on the tail, translucent wings, around 1cm  in size",3,,,,
7/8/19,PU,8C,G,fly,1,6,2,"yellow, red eyes, black stripes, clear abdomen","prominently yellow with black vertical stripes running down head, thorax, and abdomen. Abdomen milky translucent and prominently segmented",3,,,PU_8Cg-7-8-fly9,
7/8/19,PU,8C,G,fly,1,6,2,"glossy black, dark red eyes","large (~1cm), forward-facing football eyes, long black hair (predominantly on thorax)",3,,,PU_8Cg-7-8-fly10,
7/8/19,PU,8C,G,hemiptera,1,6,4,"yellow, irridescent abdomen","nubby head, translucent wings, leaf-shaped irridescent abdomen, two black dots on pronotum",3,,,PU_8Cg-7-8-hemiptera3,
7/8/19,PU,8C,G,fly,1,6,2,translucent green,"traingular head with white and black multifaceted eyes, bulge in thorax that tapers and then bulges again in abdomen. Looks continuous. Long body. Very clear wings",3,,,PU_8Cg-7-8-fly11,
7/8/19,PU,7C,P,orthoptera,1,6,4,transparent milky white,"long body (~2 cm), monster thighs, spiny tibias",3,,,PU-7-8-7P-orthoptera,
7/8/19,PU,7C,P,beetle,1,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,PU-7-8-7P-beetle,
7/8/19,PU,7C,P,beetle,1,6,4,brown,"thock egg-shaped shell of a body, clear but not deep segments on abdomen",3,,,PU-7-8-7P-beetle2,
7/8/19,PU,7C,P,millipede,1,5 bajillion,0,white,"long body, segmented, small white legs, multifaceted black eyes",many,,,PU-7-8-7P-millipede,
7/8/19,PU,5C,P,beetle,1,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,PU-7-8-5P-beetle,
7/8/19,PU,5C,P,beetle,1,6,4,brown,"trowel-shaped forewings/abdomen, medium-length antannae, thiccc thighs, broad pronotum, black eyes lateral on head",3,,,PU-7-8-5P-beetle2,
7/8/19,PU,3C,P,beetle,4,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,PU-7-8-3P-beetle,
7/8/19,PU,3C,P,beetle,1,6,4,black with brown flecks,"most prominent feature a long nose, like an elephant trunck or anteater, crescent-moon claws, tubular pronotum",3,,,PU-7-8-3P-beetle2,
7/8/19,PU,2C,P,spider,2,8,0,brown and white,"approx 0.5 cm long, black hairs on white legs, egg-shaped body sections",2,,,PU-7-8-2P-spider,
7/8/19,PU,8C,P,spider,1,8,0,brown and soft yellow,"disc shaped thorax and abdomen, long black mandibles, long black hairs on legs",2,,,PU-7-8-8P-spider,
7/8/19,PU,8C,P,beetle,1,6,4,black,divots in rows on forewings,3,,,PU-7-8-8P-beetle,
7/8/19,PU,1C,P,beetle,1,6,4,black and orange,"black body with long vertical rows on forewings, orange belly and legs",3,,,PU-7-8-1P-beetle,
7/8/19,PU,6C,P,beetle,1,6,4,brown,"trowel-shaped forewings/abdomen, medium-length antannae, thiccc thighs, broad pronotum, black eyes lateral on head",3,,,,
7/8/19,PU,6C,P,fly,1,6,2,"black body, yellow and black legs, red eyes",around 2mm in length,2,,,,
7/8/19,PU,1C,P,beetle,1,6,4,brown,"trowel-shaped forewings/abdomen, medium-length antannae, thiccc thighs, broad pronotum, black eyes lateral on head",3,,,,
