Date,"Sensor Number (1 = Tomato, 2 = Zuccuni)","Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body Segments,Photo,Species? ,pic_id
7/12/19,2,G,flower fly,3,,,,,,,flower fly,
7/12/19,2,G,fly,2,6,2,"brown head, black body, darker shade tail, brown legs","legs have black hairs all over it, grey fly eyes (70%), wings have a brown and orange pattern on its, around 1cm in length, body is skinny, 2 small masses coming off the front of its head",3,,,
7/12/19,2,G,gnat,7,,,grey with black head,,,,,
7/12/19,2,G,fly,2,6,2,"black head, black body, black tail with a yellow abdomen,","translucent wings, 2 small masses coming off the front of its head, back legs are longer than its front legs, around 2-4mm in size",3,,,
7/12/19,2,G,ant,2,6,0,"black all over, brown legs,","classic ant features, black ant eyes, small white hairs all over tail, around 4mm in size",3,,,
7/12/19,2,G,classic grey fly,7,,,,,,,,
7/12/19,2,G,ant,1,6,0,"golden brown all over, tail is a lighter darker/greyer golden brown","black eyes, golden antennae, tail is plump and round, around 7mm in length",3,,,
7/12/19,2,G,spider,1,8,0,"brown head and body, yellow legs","black eyes, grey/brown long mandible, around 2mm in size",3,,,
7/12/19,2,G,beetle,5,6,2,"black head, black body, black tail, black thighs with yellow tibia","thighs are thick on the back legs, long black antennae with yellow tips, around 2-3mm in size",3,,,
7/12/19,2,G,beetle,2,6,2,"black all over, brown legs, ","small white hairs all over body and tail, round organism (circle shape), around 1-2mm in length, head and body are compressed with the tail being the main part of organism, forewings are brown and lie vertically along its back, hindwings are translucent",3,,,
7/12/19,2,G,spider,1,8,0,"golden brown head and body, dark brown tail, golden brown legs","head lies on top of the body, black spider eyes, darker golden brown skinny mandibles, around 2mm in size",3,,,
7/12/19,2,G,beetle,2,6,0,dark brown all over? (cant really see as it has sand all over it),"tial is round and buldgey, tail has long vertical ridges along it, around 1cm in size",3,,,
7/12/19,2,G,flour beetle/confused flour beetle,1,,,,hard to distinguish between flour and confused flour beetle as it is covered in dirt,,,,
7/12/19,2,G,fly,1,6,2,"grey head, dark blue (metallic) and white body, yellow and grey stripped tail, yellow legs","translucent wings, round head with dark red eyes (80%), around 8mm in length",3,,,
7/12/19,2,G,spider,1,8,0,"black head, body and tail, grey legs","legs have black hairs all over it, body has white hairs all over it, black eyes, around 1cm in total size, body is around 5mm in size",3,,,
7/19/19,1,G,fly,7,6,2,"black, yellow","half-spherical head, beak-like yellow protrusion, sphericla black thorax, flat teardrop abdomen with yellow and black stripes",3,,flower fly,oo-7-19-1G-fly
7/19/19,1,G,hemiptera,9,6,2,"black, brown","flat head, hunchbacked thorax, thick posterior femurs, long legs, posterior legs black and anterior brown",3,,,oo-7-19-1G-hemiptera
7/19/19,1,G,larvadude,2,6,0,yellow,"time (~1mm), stubby head with two small andtannae, brown at antannae ends, teardrop body, translucent",3,,,oo-7-19-1G-larvadude
7/19/19,1,G,orthoptera,11,6,4,brown,"stubby head, triangular pronotum, scaly tapering tubular abdomen",3,,,oo-7-19-1G-orthoptera
7/19/19,1,G,orthoptera,11,6,4,"black, yellow","stubby head, long yellow legs with spines, black tapering tubular body",3,,,oo-7-19-1G-orthoptera2
7/19/19,1,G,fly,20,6,2,"black, brown","pancake head, spherical thorax, tapering tubular translucent brown abdomen",3,,,oo-7-19-1G-fly2
7/19/19,1,G,beetle,7,6,4,"black, dark red","small laterally extended head, broad pronotum, forewings long vertical divots, yellow antannae",3,,,oo-7-19-1G-beetle
7/19/19,2,G,flower fly,3,,,,,,,flower fly,
7/19/19,1,G,larvadude,2,6,0,black,"very tiny (~0.5mm), tubular head and body",3,,,oo-7-19-1G-larvadude2
7/19/19,2,G,spider,3,8,0,"black body, grey legs","black hair follicles all over legs, small squished tail, black thick mandible, black eyes, around 5mm in size, with legs size is around 1-1.5cm",2,,,oo-7-19-2G-spider2
7/19/19,1,G,ant,1,6,2,"black, yellow","pancake head, small thorax, teardrop yellow transulcent abdomen, medium segmented antannae",3,,,oo-7-19-1G-ant
7/19/19,2,G,cucumber beetle,2,,,,,,,cucumber beetle,
7/19/19,2,G,ant,1,6,0,"black all over, golden brown legs","golden brown antennae, white hairs all over body, around 3mm in size",3,,,oo-7-19-2G-ant2
7/19/19,1,G,gnat,3,6,2,black,"pronounced hunchback, long translucent white legs",3,,,oo-7-19-1G-gnat
7/19/19,1,G,fly,1,6,2,"black, grey",thorax,3,,,oo-7-19-1G-fly3
7/19/19,2,G,fly,1,6,2,"black all over, grey legs","black eyes (80%), black hair follicles, translucent wings, around 5mm in size",3,,,oo-7-19-2G-fly13
7/19/19,2,G,fly,3,6,2,"black all over, grey legs","translucent wings, grey beady legs, 1-2mm in size",3,,,oo-7-19-2G-fly12
7/19/19,1,G,ant,1,6,2,"black, yellow","segmented antannae, spherical head, egg-shaped thorax, half-egg abdomen",3,,,oo-7-19-1G-ant2
7/19/19,2,G,gnat,1,,,,,,,,
7/19/19,2,G,fly,5,6,2,"black head, body and tail, brown legs","brown beady antennae, 3-4mm in size",3,,,oo-7-19-2G-fly11
7/19/19,2,G,beetle/cicada,6,6,2,"green and yellow head, black tail, yellow legs","translucent wings, round triangular head, tail is cone shaped, aroudn 3-4mm in lengthh",3,,,
7/19/19,1,G,fly,5,6,2,"black, yellow","half-spherical head, spherical thorax, tubular tapering yellow legs",3,,,oo-7-19-1G-fly4
7/19/19,2,G,orange larva,1,,,,,,,,
7/19/19,2,G,fly,1,6,2,"black head and body, black tail with yellow horizantal, yellow legs","3-4mm in size, ",3,,,oo-7-19-2G-fly10
7/19/19,2,G,beetle,3,6,2,"black all over, yellow legs with black thighs","translucent wings, long twiggy black and yellow antennae, black fly eyes, around 2-3mm in size",3,,,oo-7-19-2G-fly9
7/19/19,1,G,fly,12,6,2,"black, yellow","tiny black head, translucent yellow abdomen and legs",3,,,oo-7-19-1G-fly5
7/19/19,2,G,fly,6,6,2,"black all over, black legs","translucent wings, 2 small masses coming off the front of its face, around 2-4mm in size",3,,,oo-7-19-2G-fly8
7/19/19,1,G,ant,1,6,0,glossy black,"thickish antannae, flat plate-like head, thin tubular thorax (long), flat circular abdomen",3,,,oo-7-19-1G-ant3
7/19/19,2,G,beetle,1,6,4,"black all over, black legs","long black beady antennae, black forewing that lie vertically along its back, translucent wings, thick thighs, around 2-3mm in size",3,,,
7/19/19,1,G,fly,4,6,2,black,"small head with very large eyes laterally, thick tubular segmented abdomen, spherical thorax",3,,,oo-7-19-1G-fly6
7/19/19,1,G,fly,1,6,2,"black, translucent white","pancake head with large eyes, spherical thorax, huge abdomen with woven white segments",3,,,oo-7-19-1G-fly7
7/19/19,2,G,beetle,1,6,4,brown all over,"black eyes, brown forewing that lie vertically along its back, translucent hindwings, long beady brown antennae, around 1mm in size",3,,,oo-7-19-2G-fly7
7/19/19,2,G,fly,1,6,2,"grey all over, black legs, ","red fly eyes (80%), 2 small grey antennae, translucent wings, around 1-2mm in size",3,,,oo-7-19-2G-fly8
7/19/19,1,G,,,,,,,,,,
7/19/19,2,G,fly,1,6,2,"black all over with yellow joints, yellow legs","long beady antennae with the last bead being thick and black, translucent wings, aroudn 1mm in size, ",3,,,oo-7-19-2G-fly6
7/19/19,2,G,fly,2,6,2,"black head, brown body, black tail, clear legs","long yellow beady antennae, around 1mm in size",3,,,oo-7-19-2G-fly6
7/19/19,2,F,spotted lady beetle,1,,,,,,,spotted lady beetle,
7/19/19,2,F,fly,6,6,2,black body and legs with faint light brown stipes on the legs,"has a very long third body section that has lines going across it , hair on legs and a little on the body, 2 antenna, second segment looks a little scaly",3 segemnts ,,,
7/19/19,2,F,yellow larva,3,,,,,,,,
7/19/19,1,G,beetle,1,6,4,brown,"very large (~2cm), thick thorax and abdomen, vertical shallow rows on forewings, flat head",3,,,oo-7-19-1G-beetle2
7/19/19,2,G,fly,1,6,2,"black all over, clear legs","long clear beady antennae, translucent wings, around 2-4mm in length",3,,,oo-7-19-2G-fly5
7/19/19,2,G,beetle/cicada larva,1,6,2,"yellow all over, light yellow legs","translucent wings, round triangular head, tail is cone shaped, around 2-3mm in length, eyes are on the side of its head",3,,,oo-7-19-2G-fly5
7/19/19,2,F,classic black fly,1,,,,,,,classic black fly,
7/19/19,2,F,centipede,1,6,0,"black and yellow body, black head and legs","yellow body with black dots (there are more dots towards the end of the body), little black spike looking hairs all over body",2,,,
7/19/19,2,G,fly,3,6,2,black all over,"grey translucent wings, black hair follicles all over body and legs, big dark red/brown eyes (75%), pronotom is matte black, around 7-8mm in size",3,,,oo-7-19-2G-fly4
7/19/19,2,G,fly,12,6,2,"black all over, black thighs, yellow tibia","2 small masses coming off the front of its face, translucent wings, black hair follicles all over body, around 2-3mm in size",3,,,oo-7-19-2G-fly3
7/19/19,2,F,fly,2,6,2,"black head and body with a few yellow lines on the body, legs are mostly yellow with a little black near where the legs and the body meet","around 4mm in length, very large head, black tinted wings, 4 yellow lines on mid section and 6 on third section",3,,,
7/19/19,2,G,beetle,1,6,2,"black head and neck, brown body/tail with black splotches, brown legs","super long neck around 2mm in size, long brown twiggy antennae, around 5-6mm in length",3,,,oo-7-19-2G-beetle5
7/19/19,1,G,gnat,3,6,2,brown,"small spherical head, pronounced hunchback, smooth exoskeleton head and thorax, translucent segmented abdomen, characteristic crook in legs",3,,,oo-7-19-1G-gnat2
7/19/19,2,G,classic black fly,9,,,,,,,,
7/19/19,1,G,ant,1,6,0,"black, brown","teeny tiny (~0.5mm), half-spherical head, teardrop thorax, disc abdomen, clearly segmented antannae",3,,,oo-7-19-1G-ant4
7/19/19,2,G,spotted lady beetle,1,,,,,,,spotted lady beetle,
7/19/19,1,G,fly,3,6,2,black,"flat head, disc-shaped eyes, thorax and abdomen run together, black hair dorsally",3,,,oo-7-19-1G-fly8
7/19/19,2,G,long nose beetle,1,,,"black, brown",,,,,oo-7-19-2G-beetle4
7/19/19,2,G,fly,1,6,2,"brown head, vibrant yellow/green body and tail with vertical balck stripes, green/yellow legs","translucent wings, black eyes (70%), 2 small masses coming off the front of its face,3-5mm in size",3,,,oo-7-19-2G-beetle3
7/19/19,1,G,beetle,1,6,4,red-brown,"large (~1cm), smooth head and thorax into abdomen, disc-shaped body, pronounced hunchback, shallow vertical divots on forewings",3,,,oo-7-19-1G-beetle3
7/19/19,2,G,flower fly,2,,,,,,,,
7/19/19,2,G,spider,1,8,0,"black/grey head and body, black/grey legs","black hair follicles all over organism, black fly eyes, around 1cm in total size, body is around 3-4mm in size",3,,,oo-7-19-2G-spider1
7/19/19,1,G,larvadude,1,6,0,brown,"long tubular body, tiny head, teeny tiny (~0.3mm)",3,,,oo-7-19-1G-larvadude3
7/19/19,1,G,spider,2,8,0,loght brown,"lighter head, darker abdomen, ~1cm diameter",2,,,oo-7-19-1G-spider
7/19/19,1,G,ant,1,6,2,"metallic black-blue, yellow","disc head with lateral red eyes, semi-tubular thorax, thin teardrop abdomen, yellow legs",3,,,oo-7-19-1G-ant5
7/19/19,2,G,orthoptera,1,6,4,"green/yellow head and pronotum, tail is black with yellow abdomen, yellow legs","legs have yellow spikes on them, forewing are green, hindwing are translucent, around 1cm in size",3,,,oo-7-19-2G-beetle2
7/19/19,2,G,ant,2,6,0,brown all over,"brown antennae, around 2-4mm in length",3,,,oo-7-19-2G-ant1
7/19/19,1,G,ant,2,6,0,"black, brown","disc head, tubular thorax, eggy abdomen",3,,,oo-7-19-1G-ant6
7/19/19,1,G,spider,2,8,0,brown,"ellipsoidal head, black disc abdomen",2,,,oo-7-19-1G-spider2
7/19/19,1,G,orthoptera,5,6,4,"black, brown","black stripes on brown body, primarily black abdomen",3,,,oo-7-19-1G-orthoptera3
7/19/19,2,G,moth,1,6,2,"black head and body, tail is black with white splotches, white wings with black specks","long skinny tail, red eyes (80%) that protrude out of its head, around 5-7cm wingspan, body is around 1cm in length",3,,,oo-7-19-2G-moth1
7/19/19,1,G,fly,3,6,2,black,"bumpy, on the large side (~5mm), dark wing veins",3,,,oo-7-19-1G-fly9
7/19/19,1,G,fly,8,6,2,black,"orange-red eyes, thick abdomen, clearly segmented abdomen, large (~7mm), dense medium black hair all over body",3,,,oo-7-19-1G-fly10
7/19/19,2,G,beetle,1,6,4,"black, yellow legs","circular, forewing is black and lies vertically along its back with studs throughout its wings, translucent hindwings, around 1-2mm in size",3,,,oo-7-19-2G-beetle1
7/19/19,1,G,dermaptera,2,6,0,"brown, black","broad and long pronotum, clearly segemented abdomen, black posteriorly",3,,,oo-7-19-1G-dermaptera
7/19/19,1,G,mosqiuito,1,6,2,"black, brown","tiny spherical head, hunchbacked, long spindly brown legs",3,,,oo-7-19-1G-mosquito
7/19/19,1,G,fly,2,6,2,"black, yellow","yellow racing stripes run vertically down dorsal aspect, abdomen exhibits yellow arc dividing anterior and posterior aspects",3,,,oo-7-19-1G-fly11
7/19/19,1,G,ant,3,6,0,brown,"pincers, thick antannae with light brown striping, long vase-shaped thorax, large flattish teardrop abdomen",3,,,oo-7-19-1G-ant7
7/19/19,1,G,fly,1,6,2,"black, grey","very large (~1.2cm), large smooth red eyes bulging laterally from head, two white hotdog-shaped protrusions hanging from nose, thick thorax with black plating dorsally that runs triangularly over anterior of abdomen, abdomen exhibits black/grey checkering pattern, thick black hairs all over body",3,,,oo-7-19-1G-fly12
7/19/19,1,G,hemiptera,3,6,2,"black, yellow","teeny head, trapezoidal thorax, beetle-like abdomen, black femurs and yellow tibias",3,,,oo-7-19-1G-hemiptera2
7/19/19,1,G,beetle,1,6,4,black,"small (~2mm), vertical divots on forewings",3,,,oo-7-19-1G-beetle4
7/19/19,1,G,hemiptera,1,6,0,"black, brown, yellow","long tubular body, black and yellow striping",3,,,oo-7-19-1G-hemiptera3
7/19/19,1,G,dermaptera,1,6,0,black,"long body, two long things sticking out of butt",3,,,oo-7-19-1G-dermaptera2
7/19/19,1,G,fly,3,6,2,black,"large (8mm), black eyes, large abdomen",3,,,oo-7-19-1G-fly13
7/19/19,1,G,ant,2,6,2,"black, yellow","very long antannae, spherical head and thorax, teardrop abdomen",3,,,oo-7-19-1G-ant8
7/19/19,1,G,ant,1,6,0,black,small antannaer,3,,,oo-7-19-1G-ant9
7/19/19,1,G,spider,1,8,0,"black, white","black hair with white markings on head, light brown legs",2,,,oo-7-19-1G-spider3
7/19/19,1,G,fly,1,6,2,black,"tiny spherical head, large thorax and abdomen, posterior legs originate from abdomen",3,,,oo-7-19-1G-fly14
7/19/19,1,F,orange larva,21,,,,,,,,
7/19/19,1,F,beetle,1,6,2,"red fly eyes (80%) protruding out of its head, translucent wings, brown legs, black head body and tail","long twiggy antennae (black), aroudn 5-6mm in size",3,,,oo-7-19-1F-beetle1
7/19/19,1,G,moth,1,6,2,white,"large (~5cm wing diameter), white fuzz all over black body, large black eyes, long brown antannae with bulge at end",3,,,oo-7-19-1G-moth
7/19/19,1,F,fly,1,6,2,"grey/black head, grey/black body and tail, yellow abdomen ","black eyes  (70%), translucent wings, around 2mm in size",3,,,oo-7-19-1F-fly6
7/19/19,1,F,beetle/cicada ,2,6,4,"beige head with black spots, black and biege splotchy tail, yellow legs","yellow translucent forewings, black eyes, round triangular head, cone like head, around 5mm in size",3,,,oo-7-19-1F-beetle/cicada2
7/19/19,1,G,spider,1,8,0,translucent brown,very translucent,2,,,oo-7-19-1G-spider4
7/19/19,1,F,beetle/cicada,1,6,4,"brown head and pronotum, black tail, yellow legs","black eyes, round triangular head, cone like tail, translucent yellow forewing, translucent hindwing, around 1cm in size",3,,,oo-7-19-1F-cicada/beetle
7/19/19,1,F,fly,2,6,2,"black head, grey body and tail, yellow legs","thick back thighs, 2 small hairs coming off the front of its face, around 1-2mm in size",3,,,oo-7-19-1F-fly5
7/19/19,1,F,fly,2,6,2,"black all over, black thighs, yellow tibia","translucent wings, 2 small masses coming off the front of its face, around 2-3mm in size",3,,,oo-7-19-1F-fly4
7/19/19,1,F,fly,2,6,2,"black head, brown body, grey tail, clear legs","beige beady antennae, translucent wings, around 1mm in size",3,,,oo-7-19-1F-fly3
7/19/19,1,F,fly,1,6,2,"black all over, black legs","translucent wings, around 3-4mm in length",3,,,oo-7-19-1F-fly2
7/19/19,1,F,fly,1,6,2,"black all over, black legs","long black eyes, distinct ridges on tail, white small hairs all over tail, yellow wings, 2 small black twiggy antennae, around 1cm in size",3,,,oo-7-19-1F-fly1
7/26/19,1,G,moth,4,6,2,white,"large (~5cm wing diameter), white fuzz all over black body, large black eyes, long brown antannae with bulge at end",3,,,oo-7-19-1G-moth
7/26/19,1,G,moth,1,6,4,"brown body covered in white hairs, dark/light brown, black and orange wings, black eyes","around 8cm in length,  body looks scaly, wings get darker the further you go away from the body, has a hairy looking wing texture",2,,,
7/26/19,1,G,flower fly,14,,,,,,,flower fly,
7/26/19,1,G,ant,6,6,2,"black body, translucent light brown legs, antannae begin translucent light brown and quickly become black and stay black, transparent wings","2 body-length segmented antannae, 2 large, dark disc-shaped eyes, spherical head, tapering cylindrical thoracic segment, tapering ovular tail segment, leg segments thicken away from joints",3,,,oo-6-14-z-G-ant
7/26/19,1,G,fly,22,6,2,"black body, yellow legs",~1mm long,,,,IMG_2327.jpg
7/26/19,1,G,fly,7,6,2,"black, yellow","half-sphere head, sphericla thorax with protrusion triangular over abdomen, red eyes lateral, certical face antannae, yellow legs",3,,STUPID,PU-7-22-8G-fly3
7/26/19,1,G,cicada type thing,4,6,2,sort of a khaki color,1-2mm,2,,,IMG_2328.jpg
7/26/19,1,G,spider,1,8,,light beige-ish brown with a darker brown abdomen,"0.5cm, sparse black hairs on beige parts",2,,IMG_2329.jpg,
7/26/19,1,G,beetle?,2,6,2,very shiny black,"horizontal ridges on body that are a bit lighter, 1-2mm, ",3,,IMG_2330.jpg,
7/26/19,1,G,beetle,3,6,2,dark brown with lighter brown legs and antennae,"2mm, exoskeleton has little bumps on it and is translucent, beady antennae",2,,IMG_2332.jpg,
7/26/19,1,G,fly,2,6,2,"light reddish brown, darker at ends of body segments","3-4mm, very long antennae that are about as long as its body, its a skinny boi",3,,IMG_2333.jpg,
7/26/19,1,G,beetle,1,6,2,very shiny dark brown,"2mm, little pin prick type things on its back, short legs that have curled up, we've def seen this one a ton",2,,IMG_2334.jpg,
7/26/19,1,G,cicada type thing,1,6,2,black and white stripes,"0.5cm, vertical stripes, especially on its wings",2,,IMG_2335.jpg,
7/26/19,1,G,beetle,1,6,2,"red head, black body","4ish mm, thick beady black antennae, kinda pointy antennae too???, antennae are about the same length as its body",2,,IMG_2336.jpg,
7/26/19,1,G,classic black fly,1,,,,,,,classic black fly,
7/19/19,1,P,roly poly bug,3,14,0,black with white specks all over it,"tail has distinct divets in it, long black antennae, the body kind of wraps around the head, around 1cm in size",3,,,oo-7-19-1P-rolypoly
7/26/19,1,G,grey fly,4,,,,,,,grey fly,
7/26/19,1,G,fly,1,6,2,"black all over, black translucent wings","4mm, long skinny abdomen that comes to a point",3,,,IMG_2337.jpg
7/19/19,1,P,beetle,1,6,0,grey all over,"grey antennae, tail has distinct ridges, black eyes, around 2-4mm in size",2,,,oo-7-19-1P-beetle2
7/19/19,1,P,fly,1,6,2,brown all over,"long brown beady atnttennae, translucent wings, 3 distinct segments, around 2mm in size",3,,,oo-7-19-1P-fly1
7/19/19,1,P,beetle,1,6,0? (can't tell),"black head and body, black tail with yellow stripe, black thigh with broown tibia","tibia have spikes coming off of it, black eyes, around 5mm in size",3,,,oo-7-19-1P-beetle1
7/26/19,1,G,larva ,1,,,orange,3-5mm,,,,IMG_2338.jpg
7/26/19,1,G,beetle? cicada thing?,1,6,2,"orangish brown, same color all over except for eyes (which are black)","1cm, large black eyes on the side of head, spines on legs",2?,,,IMG_2339.jpg
7/19/19,2,P,confused flour beetle/flour beetle,1,6,0,,,,,flour beetle/confused flour beetle,oo-7-19-2P-beetle2
7/19/19,2,P,beetle,1,6,2,brown/grey splotchy all over,"2 long antennae that come off the front of its head, brown/grey wings, around 1-2cm in size",2,,,oo-7-19-2P-beetle1
,,,,,,,,,,,,
7/26/19,1,F,moth,1,6,2,white,"large (~5cm wing diameter), white fuzz all over black body, large black eyes, long brown antannae with bulge at end",3,,,oo-7-19-1G-moth
7/26/19,1,F,flower fly,3,,,,,,,flower fly,
7/26/19,1,F,cicada/beetle,1,6,2,"grey and black splotchy head and body, yellow legs","translucent splotchy wings, small hairs coming off the legs, round triangular face, black eyes on the top of its head, 2-3mm in length",3,,,oo-6-28-1G-beetle/cicada2
7/26/19,1,F,little black fly,1,,,,,,,little black fly,
7/26/19,1,F,larvadude,12,6,0,yellow,"time (~1mm), stubby head with two small andtannae, brown at antannae ends, teardrop body, translucent",3,,,oo-7-19-1G-larvadude
7/26/19,1,F,gnat,4,6,2,shiny black head and thorax. translucent white lumbar region with brownish organs visible. Legs translucent light brown,"pancake head with bulbous eyes, very spherical shell-like thoracic region (~3x size of head), thin, teardrop-shaped lumber region. Long legs. Wings approximately body length",3,,,oo-6-21-z-G-gnat2
7/26/19,2,G,moth,3,6,2,white,"large (~5cm wing diameter), white fuzz all over black body, large black eyes, long brown antannae with bulge at end",3,,,oo-7-19-1G-moth
7/26/19,2,G,spotted lady beetle,2,,,,,,,spotted lady beetle,
7/26/19,2,G,flower fly,3,,,,,,,flower fly,
7/26/19,2,G,fly,1,6,2,"red eyes, yellow translucent legs, yellow/ blackish  body and head","around 2mm in length,  the lower down you look on the body the more black it will be",3,,,
7/26/19,2,G,long nosed beetle,1,,,,,,,long nosed beetle,
7/26/19,2,G,spider,2,8,0,"black head body and tail, brown legs","has white hairs all over the head, and body, black eyes, around 5mm in size",3,,,oo-7-3-1G-spider1
7/26/19,2,G,beetle? cicada thing?,2,6,2,"orangish brown, same color all over except for eyes (which are black)","1cm, large black eyes on the side of head, spines on legs",2?,,,IMG_2339.jpg
7/26/19,2,G,larvadude,19,6,0,yellow,"time (~1mm), stubby head with two small andtannae, brown at antannae ends, teardrop body, translucent",3,,,oo-7-19-1G-larvadude
7/26/19,2,F,orange larva,45,,,,,,,,oo-7-19-1G-larvadude
7/26/19,2,F,fly,4,6,2,"black all over, black thighs and clear joints","black beady antennae, less than 1mm in size",3,,,oo-7-26-2F-fly5
7/26/19,2,F,beetle/cicada (same as row 300),1,6,2,"green and yellow head, black tail, yellow legs","translucent wings, round triangular head, tail is cone shaped, aroudn 3-4mm in lengthh",3,,,oo-7-26-2F-beetle/cicada2
7/26/19,2,F,classic big black fly,1,,,,,,,,
7/26/19,2,F,fly,2,6,2,"black all over, grey legs, ","translucent wings, small black hairs all over body, around 2-4mm in size",3,,,oo-7-26-2F-fly4
7/26/19,2,F,fly,2,6,2,"black all over, grey legs with yellow joints ","black long beady antennae, translucent wings, black eyes, around 1-2mm in length",3,,,oo-7-26-2F-fly3
7/26/19,2,G,spider,1,8,0,"black body, reddish orange head and head","around 1mm in length, egg sack is the same size as the head, light brown feelers",2,,,
7/26/19,2,F,fly,1,6,2,"black all over, ","grey translucent wings, red fly eyes (80%), black hairs all over organism, 5-6mm in length",3,,,oo-7-26-2F-fly2
7/26/19,2,G,insect,1,6,2,black,"10-12mm in length, scaly looking mid section",3,,,
7/26/19,2,G,beetle,2,6,2,"black body and legs, light brown mid section black head, half yellow and black legs","around 5-6mm in length, shinny shell like skin, ",3,,,
7/26/19,2,F,spotted lady beetle,1,,,,,,,spotted lady beetle,
7/26/19,2,F,moth (same as row 446),3,6,2,white,"large (~5cm wing diameter), white fuzz all over black body, large black eyes, long brown antannae with bulge at end",3,,,oo-7-19-1G-moth
7/26/19,2,G,beetle,1,6,2,"black head, red mid section and black wings/ lower body, black legs","around 4-5mm in length, shinny skin, wings are metallic, has a red tail like thing",3,,,
7/26/19,2,F,fly,1,6,2,"grey head, black body and tail, black legs with brown tibia","black and white hairs all over head and body making it look fluffy, translucent wings, 2 long antennae type thing coming off of its head, around 2-3cm in size",3,,,oo-7-26-2F-fly1
7/26/19,2,G,,,,,,,,,,
7/26/19,2,F,black larva,7,,,,,,,,
7/26/19,2,F,beetle/cicada,1,6,4,"green/beige head, yellow abdomen and black tail, legs are yellow","fore wings are yellow and brown, hindwings are translucent grey, round triangular head, around 5-7mm in size",3,,,oo-7-26-2F-beetle/cicada
7/26/19,1,P,beetle ,2,6,2,"dark brown but lighter brown towards the end of the abdomen, legs the same color as the body","no more than 0.5cm, bumps on its back, thick thighs",2,,,IMG_2344.jpg
7/26/19,2,G,fly (same as row 208),2,6,2,"black all over, black legs with yellow joints","translucent wings that lie vertically along its back, long black antennae, back has white spots along it, small head (triangular in shape), aroumnd 1-3mm in size",3,,,
7/26/19,2,F,fly,2,6,2,"black all over, golden brown legs","black beady antennae, translucent wings, has a cercus/stinger, around 5-7mm in length",3,,,oo-7-26-2F-fly2
7/26/19,2,G,ant,2,6,0, brown all over,"the end of the ant is a darker brown than the rest of the body and the legs, around 4mm in length",4,,,
7/26/19,1,P,caterpillar,1,many,0,"dark grey brown (basically the color of mud), lighter at the end","sporadic ""blonde"" hairs, 3cm long, 0.5cm wide",?,,,IMG_2346
7/26/19,1,P,beetle,1,6,2,reddish brown,"2cm long, completely smooth and shiny, same color all over",2,,,IMG_2347
7/26/19,1,P,beetle,1,6,2,"dark brown exo, slightly lighter brown underneath and on legs","vertical ridges on abdomen, spines on legs, flat thorax",3,,,IMG_2345
7/26/19,2,F,beetle,1,6,2,"brown head and body, bronw with black splotches on tail, brown legs","antennae are on the side of its head with big beads, brown forewings lie vertically along its back, around 2-3mm in length",3,,,oo-7-26-2F-beetle1
7/26/19,2,F,cucumber beetle,1,,,,,,,cucumber beetle,
7/26/19,2,G,little black fly,11,,,,,,,little black fly,
7/26/19,2,P,beetle,1,6,2,"red head, black body","4ish mm, thick beady black antennae, kinda pointy antennae too???, antennae are about the same length as its body",2,,IMG_2336.jpg,
7/26/19,2,P,larva,1,0,0,medium brown,"2-3cm, 0.5cm wide, has a long tail thing coming out one end, horizontal bumps",1,,,IMG_2351
7/26/19,2,P,beetle,1,6,2,dark brown with certain regions looking like a white base with densely packed brown dots,"3cm long, 1.5cm long antennae, a white projection coning out of abdomen",3,,,IMG_2349
7/26/19,2,P,centipede?,1,a lot,0,"white with a beige stripe down middle and 2 on each side of that, little white legs","3mm long, segmented antennae, body in many segments",?,,,IMG_2348
7/26/19,2,G,centipede,1,6,0,"black and yellow body, black head and legs","yellow body with black dots (there are more dots towards the end of the body), little black spike looking hairs all over body",2,,,
7/26/19,2,G,fly,1,6,2,"grey head, black body and tail, black legs with brown tibia","black and white hairs all over head and body making it look fluffy, translucent wings, 2 long antennae type thing coming off of its head, around 2-3cm in size",3,,,
7/26/19,2,G,fly,2,6,2,black,"orange-red eyes, thick abdomen, clearly segmented abdomen, large (~7mm), dense medium black hair all over body",3,,,oo-7-19-1G-fly10
7/26/19,2,G,fly,2,6,2,"light brown mid section and head, black third section, black eyes, light brown/yellowish legs, black wings","around 7-8mm in length, eyes tak up more than 90% of the head",3,,,
7/26/19,2,G,fly,3,6,2,shiny black body with black legs that terminate yellow and antanne that begin with a yellow section ut quickly become and stay black. \,"approximately flat, disc-shaped head, long egg shaed and intricately scaled thoracic region, prominently pointed teardrop-shaped lumbar region. Front set of legs anterior on thoracic region and latte two sets of legs clumbed closely on posterior of thoracic region",3,,,oo-6-21-z-G-ant2
8/2/19,2,G,fly,2,6,2,black body and legs with faint light brown stipes on the legs,"has a very long third body section that has lines going across it , hair on legs and a little on the body, 2 antenna, second segment looks a little scaly",3 segemnts ,,,
8/2/19,2,G,flower fly,1,,,,,,,flower fly,
8/2/19,2,G,fly,1,6,2,"black head, dark blue metallic body and tail, black legs","translucent wings, small hair follicles on leg and some ofn body, big dark red fly eyes (85%), white lines that go horizantally along the tail, around 1cm in size",3,,,
8/2/19,2,G,classic grey fly,4,,,,,,,classic grey fly,
